Original Value,Encoded Value
001XX S RIVERSIDE PLZ,765
001XX S SACRAMENTO BLVD,766
001XX S SANGAMON ST,767
001XX S SEELEY AVE,768
001XX S SPRINGFIELD AVE,769
001XX S ST LOUIS AVE,770
001XX S STATE ST,771
001XX S WABASH AVE,772
001XX S WACKER DR,773
001XX S WASHTENAW AVE,774
001XX S WELLS ST,775
001XX S WESTERN AVE,776
001XX S WHIPPLE ST,777
001XX S WOOD ST,778
001XX W 100TH ST,779
001XX W 103RD PL,780
001XX W 103RD ST,781
001XX W 104TH PL,782
001XX W 104TH ST,783
001XX W 105TH ST,784
001XX W 106TH PL,785
001XX W 107TH ST,786
001XX W 108TH PL,787
001XX W 108TH ST,788
001XX W 109TH PL,789
001XX W 109TH ST,790
001XX W 110TH PL,791
001XX W 110TH ST,792
001XX W 111TH PL,793
001XX W 111TH ST,794
001XX W 112TH PL,795
001XX W 112TH ST,796
001XX W 113TH PL,797
001XX W 113TH ST,798
001XX W 114TH ST,799
001XX W 115TH ST,800
001XX W 116TH ST,801
001XX W 117TH ST,802
001XX W 118TH ST,803
001XX W 119TH ST,804
001XX W 120TH ST,805
001XX W 123RD ST,806
001XX W 126TH PL,807
001XX W 127TH ST,808
001XX W 18TH ST,809
001XX W 24TH ST,810
001XX W 31ST ST,811
001XX W 35TH ST,812
001XX W 43RD ST,813
001XX W 46TH ST,814
001XX W 57TH PL,815
001XX W 61ST ST,816
001XX W 62ND ST,817
001XX W 63RD ST,818
001XX W 66TH ST,819
001XX W 68TH ST,820
001XX W 69TH ST,821
001XX W 70TH ST,822
001XX W 71ST ST,823
001XX W 72ND ST,824
001XX W 74TH ST,825
001XX W 75TH ST,826
001XX W 76TH ST,827
001XX W 77TH ST,828
001XX W 79TH ST,829
001XX W 80TH ST,830
001XX W 81ST ST,831
001XX W 83RD ST,832
001XX W 84TH ST,833
001XX W 87TH ST,834
001XX W 91ST ST,835
001XX W 93RD ST,836
001XX W 95TH ST,837
001XX W 97TH ST,838
001XX W 99TH ST,839
001XX W 9TH ST,840
001XX W ADAMS ST,841
001XX W BRAYTON ST,842
001XX W BURTON PL,843
001XX W CERMAK RD,844
001XX W CHESTNUT ST,845
001XX W CHICAGO AVE,846
001XX W CONGRESS PKWY,847
001XX W DIVERSEY PKWY,848
001XX W DIVISION ST,849
001XX W ELM ST,850
001XX W ERIE ST,851
001XX W EUGENIE ST,852
001XX W GARFIELD BLVD,853
001XX W GERMANIA PL,854
001XX W GOETHE ST,855
001XX W GRAND AVE,856
001XX W Grand Ave,857
001XX W HARRISON ST,858
001XX W HUBBARD ST,859
001XX W HURON ST,860
001XX W Hubbard St,861
001XX W Hubbard st,862
001XX W I190 EXPY,863
001XX W ILLINOIS ST,864
001XX W JACKSON BLVD,865
001XX W KINZIE ST,866
001XX W Kinzie St,867
